FancyName,Division,City,Name,Tournament,Filename,Date,Order
Hood River Open,,Hood River,,,,2020-02-15,
Labor Day Oregon Coast Open (LOCO),,Lincoln City,LOCO_2021,LOCO,loco-2021,2021-09-04,
Portland-Alberta Beer Scrabble Thing (PABST),,Portland,PABST_2021,Pabst,pabst-2021,2021-10-16,
Charlottesville Open,,Charlottesville,Charlottesville_2021,Charlottesville,charlottesville-2021,2021-11-13,
Seattle Open,,Seattle,Seattle_2021,Seattle,seattle-2021,2021-12-11,
Hood River Open,,Hood River,HoodRiver_2022,Hood River,hoodriver-2022,2022-02-19,
San Diego,,San Diego,SanDiego_2022,San Diego,sandiego-2022,2022-03-12,
Austin Tile X-Words (ATX),,Austin,ATX_2022,ATX,atx-2022,2022-04-02,
Boston Open,,Boston,Boston_2022,Boston,boston-2022,2022-04-23,
Oregon Scrabble Championship (OSC),,Portland,OSC_2022,OSC,osc-2022,2022-05-07,
May Minnesota Madness (3M),,Minneapolis,Minneapolis_2022,3M,3m-2022,2022-05-21,
CoCo in the Mad City,,Madison ,Madison_2022,Madison,madison-2022,2022-06-04,
Saint Louis Open,,Saint Louis,StLouis_2022,STL,stl-2022,2022-06-25,
Word Cup,EB,Lisle,WordCup_EB_2022,WGPO,wgpo-earlybird-2022,2022-07-08,
Word Cup,D1,Lisle,WordCup_D1_2022,Word Cup,wordcup-d1-2022,2022-07-09,
Word Cup,D2,Lisle,WordCup_D2_2022,Word Cup,wordcup-d2-2022,2022-07-09,
Seattle Summer,,Seattle,Seattle_2022,Seattle,seattle-2022,2022-07-23,
Twin Cities Special,,Minneapolis,TwinCities_2022,MN,mn-2022,2022-08-06,
Potomac,,Potomac,Potomac_2022,Potomac,potomac-2022,2022-08-20,
Labor Day Oregon Coast Open (LOCO),,Lincoln City,LOCO_2022,LOCO,loco-2022,2022-09-03,
Scrabbleboro ,,Brattleboro,Brattleboro_2022,Brattleboro,brattleboro-2022,2022-10-01,
Portland-Alberta Beer Scrabble Thing (PABST),,Portland,PABST_2022,Pabst,pabst-2022,2022-10-08,
Slingerlands,,Slingerlands,Slingerlands_2022,Slingerlands,slingerlands-2022,2022-11-12,
Bend,,Bend,Bend_2022,Bend,bend-2022,2022-12-03,
Los Angeles New Year’s,,Los Angeles,LosAngeles_2022,LA,la-2022,2022-12-31,
Crescent City Cup,Lite,New Orleans,NOLA_Lite_2023,NOLA,nola-d2-2023,2023-01-14,
Crescent City Cup,Open,New Orleans,NOLA_Open_2023,NOLA,nola-d1-2023,2023-01-14,
Hood River Open,,Hood River,HoodRiver_2023,Hood River,hood-river-2023,2023-02-18,
Austin Tile X-Words (ATX),,Austin,ATX_2023,Austin,austin-2023,2023-04-01,
Scrabble and Taxes,,Silver Spring,SilverSpring_2023,Silver Spring,silver-spring-2023,2023-04-15,
Champions Cup,,Slingerlands,ChampionsCup_2023,Slingerlands,slingerlands-2023,2023-04-29,
Texas CSW One-Days,,Austin,TexasCSW_May_2023,Austin,austin-may-2023,2023-05-06,
Memorial Day Oregon Coast Open (MOCO),,Lincoln City,MOCO_2023,MOCO,moco-2023,2023-05-27,
Saint Louis Open,,Saint Louis,StLouis_2023,Stlouis,stlouis-jun2023,2023-06-10,
Texas CSW One-Days,,Austin,TexasCSW_Jun_2023,Austin,austin-jun-2023,2023-06-10,
Seattle Summer,,Seattle,Seattle_Summer_2023,Seattle,seattle-jul2023,2023-07-15,
"Vancouver, BC",,Vancouver,Vancouver_2023,Vancouver,vancouver-aug2023,2023-08-06,
Portland 1-Day,,Portland,Portland_Aug_2023,Portland,portland-aug2023,2023-08-12,
Texas CSW One-Days,,Austin,TexasCSW_Aug_2023,Austin,austin-aug2023,2023-08-12,
Scrabble Soiree at Sammy's,,Columbia,Columbia_2023,Columbia,columbia-2023,2023-09-09,
Texas CSW One-Days,,Austin,TexasCSW_Sep_2023,Austin,austin-sep2023,2023-09-16,
Seattle 1-Day,,Seattle,Seattle_Sep_2023,Seattle,seattle-sept2023,2023-09-30,
Albuquerque/Rio Rancho,,Rio Rancho,RioRancho_2023,Rio Rancho,riorancho-oct2023,2023-10-07,
Autumnal Rumble in Potomac,,Potomac,Potomac_2023,Potomac,potomac-oct2023,2023-10-21,
Texas CSW State Championship,,Austin,TexasState_2023,Texas State,texasstate-2023,2023-10-28,
Portland 1-Day,,Portland,Portland_Nov_2023,Portland,portland-nov2023,2023-11-04,
North American Collins Championship,D1,Seattle,NACC_D1_2023,NACC,nacc2023-d1,2023-11-10,
North American Collins Championship,D2,Seattle,NACC_D2_2023,NACC,nacc2023-d2,2023-11-10,
North American Collins Championship,D1P,Seattle,NACC_Playoffs_D1_2023,NACC,nacc2023-d1p,2023-11-10,
North American Collins Championship,D2P,Seattle,NACC_Playoffs_D2_2023,NACC,nacc2023-d2p,2023-11-10,
North American Collins Championship,Afterword,Seattle,NACC_Afterword_2023,NACC,nacc2023-afterword,2023-11-14,
California Open,,Palm Springs,CaliforniaOpen_2023,Palm Springs,palmsprings-dec2023,2023-12-08,
Crescent City Cup,Lite,New Orleans,NOLA_Lite_2024,NOLA,nola-lite-2024,2024-01-13,
Crescent City Cup,Open,New Orleans,NOLA_Open_2024,NOLA,nola-open-2024,2024-01-13,
Portland Pub,,Portland,PortlandPub_Jan_2024,Portland Pub,portland-pub-jan2024,2024-01-20,
Hood River Open,,Hood River,HoodRiver_2024,Hood River,hood-river-2024,2024-02-17,
Portland Pub,,Portland,PortlandPub_Mar_2024,Portland Pub,portland-pub-mar2024,2024-03-02,
Austin Tile X-Words (ATX),,Austin,ATX_2024,Austin,austin-atx2024,2024-04-06,
Portland Pub,,Portland,PortlandPub_Apr13_2024,Portland Pub,portland-pub-apr132024,2024-04-13,
Portland Pub,,Portland,PortlandPub_Apr14_2024,Portland Pub,portland-pub-apr142024,2024-04-14,
Champions Cup,,Slingerlands,ChampionsCup_2024,Champions Cup,championscup-2024,2024-04-27,
Portland Pub,,Portland,PortlandPub_May_2024,Portland Pub,portlandpub-may2024,2024-05-04,
Potomac Memorial Day,,Potomac,Potomac_2024,Potomac,potomac-may2024,2024-05-25,
Seattle Memorial Day,,Seattle,Seattle_2024,Seattle,seattle-may2024,2024-05-25,
Portland Pub,,Portland,PortlandPub_Jun_2024,Portland Pub,portlandpub-jun2024,2024-06-15,
Portland Pub,,Portland,PortlandPub_Jul_2024,Portland Pub,portlandpub-jul2024,2024-07-20,
Word Cup,EB,Albuquerque,WordCup_EB_2024,Word Cup,wordcup-2024-eb,2024-07-26,
Word Cup,D1,Albuquerque,WordCup_D1_2024,Word Cup,wordcup-2024-d1,2024-07-27,
Word Cup,D2,Albuquerque,WordCup_D2_2024,Word Cup,wordcup-2024-d2,2024-07-27,
Glen Haven,,Glen Haven,GlenHaven_2024,Glenhaven,glenhaven-2024,2024-08-02,
Portland Pub,,Portland,PortlandPub_Aug_2024,Portland Pub,portlandpub-aug2024,2024-08-25,
PDXWords,EB,Portland,PDXWords_EB_2024,PDXwords,pdxwords-eb-2024,2024-08-30,
Delaware Labor Day,,Lewes,LewesDE_2024,Lewes,lewes-2024,2024-08-31,
PDXWords,,Portland,PDXWords_2024,PDXwords,pdxwords-2024,2024-08-31,
Portland Pub,,Portland,PortlandPub_Oct_2024,Portland Pub,portlandpub-oct2024,2024-10-05,
Seattle October One-Day #1,,Seattle,Seattle_Oct26_2024,Seattle,seattle-oct262024,2024-10-26,
Seattle October One-Day #2,,Seattle,Seattle_Oct27_2024,Seattle,seattle-oct272024,2024-10-27,
Second Scrabble Soiree at Sammy's,,Columbia,Columbia_2024,Columbia,columbia-2024,2024-11-02,
Portland Pub,,Portland,PortlandPub_Nov_2024,Portland Pub,portlandpub-nov2024,2024-11-03,
California Open,,San Francsico,CaliforniaOpen_2024,San Francisco,sanfrancisco-dec2024,2024-12-06,
Portland Pub,,Portland,PortlandPub_Dec_2024,Portland Pub,portlandpub-dec2024,2024-12-07,
"Vancouver, BC",,Vancouver,Vancouver_2024,Vancouver,vancouver-dec2024,2024-12-14,
Crescent City Cup,Lite,New Orleans,NOLA_Lite_2025,NOLA,nola-lite-2025,2025-01-18,
Crescent City Cup,Open,New Orleans,NOLA_Open_2025,NOLA,nola-open-2025,2025-01-18,
Hood River Open,,Hood River,HoodRiver_2025,Hood River,hood-river-2025,2025-02-15,
Providence March One-Day ,,Providence,Providence_Mar2_2025,Providence,providence-mar2025,2025-03-02,
Providence April One-Day ,,Providence,Providence_Apr3_2025,Providence,providence-apr2025,2025-04-02,
Portland Pub,,Portland,PortlandPub_Apr12_2025,Portland Pub,portland-pub-12apr2025,2025-04-12,
Portland Pub,,Portland,PortlandPub_Apr13_2025,Portland Pub,portland-pub-13apr2025,2025-04-13,
Champions Cup,,Slingerlands,ChampionsCup_2025,Champions Cup,championscup-2025,2025-04-19,
Romega Classic I,,Rome,RomeGA_2025,Rome,rome-may2025,2025-05-03,
Bellingham Fire Station,,Bellingham,Bellingham_2025,Bellingham,bellingham-may2025,2025-05-10,
Seattle Memorial Day,,Seattle,Seattle_2025,Seattle,seattle-may2025,2025-05-24,
Austin Tile X-Words (ATX),,Austin,ATX_2025,Austin,austin-atx2025,2025-06-07,
Denver,,Denver,Denver_2025,Denver,denver-21jun2025,2025-06-21,
NOVA One-Day,,Falls Church,NOVA_2025,Nova,nova-jun2025,2025-06-22,
Portland Pub,,Portland,PortlandPub_Jun_2025,Portland Pub,portlandpub-jun2025,2025-06-29,
Bend,,Bend,Bend_2025,Bend,bend-jun2025,2025-07-13,
Word Cup,EB,Saint Louis,WordCup_EB_2025,Word Cup,wordcup-2025-eb,2025-08-01,
Word Cup,D1,Saint Louis,WordCup_D1_2025,Word Cup,wordcup-2025-d1,2025-08-02,
Word Cup,D2,Saint Louis,WordCup_D2_2025,Word Cup,wordcup-2025-d2,2025-08-02,
PDXWords,EB,Portland,PDXWords_EB_2025,PDXwords,pdxwords-eb-2025,2025-08-29,
PDXWords,,Portland,PDXWords_2025,PDXwords,pdxwords-2025,2025-08-30,
Slingerlands Series #1,,Slingerlands,Slingerlands_Series1_2025,Slingerlands,slingerlands-series1-2025,2025-08-30,
Slingerlands Series #2,,Slingerlands,Slingerlands_Series2_2025,Slingerlands,slingerlands-series2-2025,2025-08-31,
Charlottesville Autumn Scrabble Tournament,,Charlottesville,charlottesville_2025,Charlottesville,charlottesville-2025,2025-10-04,
Seattle October 1-Day  #1,,Seattle,seattle-oct252025,Seattle,seattle-oct252025,2025-10-25,
Seattle October 1-Day  #2,,Seattle,seattle-oct262025,Seattle,seattle-oct262025,2025-10-26,
California Open,,San Francisco,,,sanfrancisco-dec2025,2025-12-14,
Crescent City Cup,Lite,New Orleans,,,nola-lite-2026,2026-01-18,
Crescent City Cup,Open,New Orleans,,,nola-open-2026,2026-01-19,
Providence January One-Day,,Providence,,,providence-jan2026,2026-01-24,
NOVA One-Day,,Falls Church,,,nova-feb2026,2026-02-07,
Hood River Open,,Hood River,,,hood-river-2026,2026-02-16,
Somerville One-Day,,Somerville,,,somerville-feb2026,2026-02-22,
NOVA One-Day,,Falls Church,,,nova-mar2026,2026-03-07,
Providence March One-Day,,Providence,,,providence-mar2026,2026-03-15,
NOVA One-Day,,Falls Church,,,nova-apr2026,2026-04-11,
Somerville One-Day,,Somerville,,,somerville-apr2026,2026-04-12,
Portland Pub,,Portland,,,portland-pub-18apr2026,2026-04-18,
Portland Pub,,Portland,,,portland-pub-19apr2026,2026-04-19,
"Vancouver, BC",,Vancouver,,,vancouver-may2026,2026-05-17,
Seattle 1-Day,,Seattle,,,seattle-jul2026,2026-07-05,
Word Cup,EB,Williamsburg,,,wordcup-2026-eb,2026-07-31,
Word Cup,AA1,Williamsburg,,,wordcup-2026-aa1,2026-08-01,
Word Cup,AA2,Williamsburg,,,wordcup-2026-aa2,2026-08-03,
Word Cup,AA3,Williamsburg,,,wordcup-2026-aa3,2026-08-04,
Word Cup,D1,Williamsburg,,,wordcup-2026-d1,2026-08-05,
Word Cup,D2,Williamsburg,,,wordcup-2026-d2,2026-08-05,
