"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score",,
45815.3784,1,"James Curley",455,"Becky Dyer",438,"Second","Confirmed!"
45815.38301,1,"Jesse Day",472,"Prashant Murti",378,"First","Confirmed!"
45815.409,2,"Becky Dyer",432,"James Curley",378,"Second","Confirmed!"
45815.41823,1,"Ben Weaver",527,"Evans Clinchy",314,"Second","Confirmed!"
45815.41883,2,"Evans Clinchy",398,"Ben Weaver",375,"Second","Confirmed!"
45815.41899,2,"Jesse Day",438,"Prashant Murti",402,"Second","Confirmed!"
45815.45183,3,"James Curley",406,"Prashant Murti",313,"Second","Confirmed!"
45815.45484,3,"Evans Clinchy",457,"Becky Dyer",437,"First","Confirmed!"
45815.46372,3,"Jesse Day",491,"Ben Weaver",274,"First","Confirmed!"
45815.49594,4,"Evans Clinchy",568,"Becky Dyer",363,"Second","Confirmed!"
45815.52171,4,"James Curley",412,"Prashant Murti",364,"First","Confirmed!"
45815.53243,4,"Ben Weaver",482,"Jesse Day",466,"First","Confirmed!"
45815.56288,5,"Evans Clinchy",395,"Prashant Murti",366,"Second","Confirmed!"
45815.56324,5,"Becky Dyer",447,"Ben Weaver",294,"Second","Confirmed!"
45815.5691,5,"Jesse Day",474,"James Curley",370,"First","Confirmed!"
45815.59466,6,"Becky Dyer",447,"Ben Weaver",255,"First","Confirmed!"
45815.5984,6,"Evans Clinchy",487,"Prashant Murti",415,"First","Confirmed!"
45815.60595,6,"James Curley",418,"Jesse Day",340,"First","Confirmed!"
45815.63494,7,"Prashant Murti",403,"Ben Weaver",347,"Second","Confirmed!"
45815.63553,7,"Jesse Day",554,"Becky Dyer",350,"First","Confirmed!"
45815.64015,7,"Evans Clinchy",619,"James Curley",454,"Second","Confirmed!"
45815.66753,8,"Prashant Murti",453,"Ben Weaver",434,"First","Confirmed!"
45815.67203,8,"Evans Clinchy",465,"James Curley",400,"First","Confirmed!"
45815.6752,8,"Jesse Day",470,"Becky Dyer",447,"Second","Confirmed!"
45816.37421,9,"Becky Dyer",534,"Prashant Murti",286,"First","Confirmed!"
45816.3817,9,"James Curley",406,"Ben Weaver",316,"First","Confirmed!"
45816.38194,9,"Jesse Day",463,"Evans Clinchy",413,"First","Confirmed!"
45816.40949,10,"Prashant Murti",477,"Becky Dyer",450,"First","Confirmed!"
45816.42733,10,"Evans Clinchy",453,"Jesse Day",418,"First","Confirmed!"
45816.42969,10,"Ben Weaver",438,"James Curley",420,"First","Confirmed!"
45816.46338,11,"Prashant Murti",434,"Ben Weaver",366,"Second","Confirmed!"
45816.46479,11,"Jesse Day",510,"Evans Clinchy",429,"First","Confirmed!"
45816.46617,11,"Becky Dyer",540,"James Curley",284,"First","Confirmed!"
45816.52119,12,"Evans Clinchy",429,"Becky Dyer",348,"First","Confirmed!"
45816.52503,12,"James Curley",499,"Prashant Murti",297,"Second","Confirmed!"
45816.52801,12,"Jesse Day",500,"Ben Weaver",481,"First","Confirmed!"
45816.55825,13,"Becky Dyer",511,"Prashant Murti",388,"First","Confirmed!"
45816.56156,13,"Evans Clinchy",645,"Ben Weaver",247,"First","Confirmed!"
45816.5685,13,"Jesse Day",455,"James Curley",373,"Second","Confirmed!"
45816.598,14,"Prashant Murti",530,"Ben Weaver",331,"First","Confirmed!"
45816.60475,14,"James Curley",485,"Becky Dyer",367,"First","Confirmed!"
45816.61221,14,"Evans Clinchy",585,"Jesse Day",492,"First","Confirmed!"
