Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
06/10/2023 8:31:35,1,Jesse Day,477,Michael Donegan,354,,,,,,,
06/10/2023 8:36:48,1,Becky Dyer,504,James Curley,349,,,,,,,
06/10/2023 9:33:13,1,Chris Canik,473,Benjamin Weaver,320,,,,,,,
06/10/2023 9:33:41,2,Chris Canik,439,Becky Dyer,350,,,,,,,
06/10/2023 9:38:40,2,James Curley,384,Michael Donegan,335,,,,,,,
06/10/2023 9:42:26,2,Jesse Day,491,Benjamin Weaver,382,,,,,,,
06/10/2023 10:47:45,3,Chris Canik,595,Michael Donegan,251,,, ,,,,
06/10/2023 10:51:54,3,Becky Dyer,450,Benjamin Weaver,296,,,,,,,
06/10/2023 10:52:21,3,Jesse Day,465,James Curley,368,,,,,,,
06/10/2023 12:15:41,4,James Curley,547,Chris Canik,384,,,,,,,
06/10/2023 12:29:00,4,Michael Donegan,387,Benjamin Weaver,378,,,,,,,
06/10/2023 12:42:43,4,Becky Dyer,465,Jesse Day,464,,,,,,,
06/10/2023 13:32:39,5,James Curley,592,Benjamin Weaver,384,,,,,,,
06/10/2023 13:34:05,5,Chris Canik,538,Jesse Day,331,,,,,,,
06/10/2023 13:38:21,5,Becky Dyer,426,Michael Donegan,363,,,,,,,
06/10/2023 14:35:02,6,Chris Canik,456,Becky Dyer,349,,,,,,,
06/10/2023 14:40:08,6,Benjamin Weaver,416,Michael Donegan,337,,,,,,,
06/10/2023 14:42:30,6,Jesse Day,544,James Curley,372,,,,,,,
