Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
44898.40382,1,Alec Sjöholm,476,Travis Chaney,408,,,,,,,
44898.4203,1,Dave Wiegand,432,David Brown,277,,,,,,,
44898.42369,1,Conrad Bassett-Bouchard,405,David Whitley,367,,,,,,,
44898.49463,1,Peter Armstrong,50,Bye,0,,,,,,,
44898.43005,2,Alec Sjöholm,431,Travis Chaney,296,,,,,,,
44898.4508,2,Dave Wiegand,545,David Brown,397,,,,,,,
44898.49263,2,Conrad Bassett-Bouchard,458,David Whitley,450,,, ,,,,
44898.49488,2,Peter Armstrong,50,Bye,0,,,,,,,
44898.47281,3,Conrad Bassett-Bouchard,506,Travis Chaney,326,,,,,,,
44898.48773,3,David Brown,539,Alec Sjöholm,391,,,,,,,
44898.49515,3,David Whitley,50,Bye,0,,,,,,,
44898.49544,3,Peter Armstrong,410,Dave Wiegand,371,,,,,,,
44898.49304,4,Conrad Bassett-Bouchard,503,Travis Chaney,346,,,,,,,
44898.49536,4,David Whitley,50,Bye,0,,,,,,,
44898.52208,4,Alec Sjöholm,432,David Brown,413,,,,,,,
44898.52521,4,Dave Wiegand,541,Peter Armstrong,482,,,,,,,
44898.60681,5,Conrad Bassett-Bouchard,481,Dave Wiegand,387,,,,,,,
44898.60815,5,Alec Sjöholm,548,Peter Armstrong,405,,,,,,,
44898.6134,5,David Whitley,568,David Brown,332,,,,,,,
44898.7201,5,Travis Chaney,50,Bye,0,,,,,,,
44898.63817,6,Dave Wiegand,407,Conrad Bassett-Bouchard,359,,,,,,,
44898.64492,6,Alec Sjöholm,549,Peter Armstrong,460,,,,,,,
44898.65115,6,David Whitley,445,David Brown,412,,,,,,,
44898.7201,6,Travis Chaney,50,Bye,0,,,,,,,
44898.67877,7,Peter Armstrong,452,Travis Chaney,310,,,,,,,
44898.68617,7,Dave Wiegand,459,David Whitley,355,,,,,,,
44898.68749,7,David Brown,449,Conrad Bassett-Bouchard,340,,,,,,,
44898.7201,7,Alec Sjöholm,50,Bye,0,,,,,,,
44898.70241,8,Peter Armstrong,433,Travis Chaney,334,,,,,,,
44898.71449,8,Conrad Bassett-Bouchard,457,David Brown,416,,,,,,,
44898.7201,8,David Whitley,539,Dave Wiegand,403,,,,,,,
44898.7201,8,Alec Sjöholm,50,Bye,0,,,,,,,
12/3/2022 17:50,9,Dave Wiegand,419,Travis Chaney,331,,,,,,,
12/3/2022 17:57,9,Conrad Bassett-Bouchard,511,Alec Sjöholm,470,,,,,,,
12/3/2022 18:33,9,Peter Armstrong,432,David Whitley,376,,,,,,,
12/3/2022 20:15,9,David Brown,50,Bye,0,,,,,,,
12/3/2022 18:25,10,Dave Wiegand,488,Travis Chaney,424,,,,,,,
12/3/2022 18:51,10,Conrad Bassett-Bouchard,468,Alec Sjöholm,346,,,,,,,
12/3/2022 20:04,10,David Whitley,428,Peter Armstrong,401,,,,,,,
12/3/2022 20:15,10,David Brown,50,Bye,0,,,,,,,
12/4/2022 10:00,11,Alec Sjöholm,460,Dave Wiegand,366,,,,,,,
12/4/2022 10:11,11,Travis Chaney,440,David Whitley,338,,,,,,,
12/4/2022 10:26,11,Peter Armstrong,462,David Brown,454,,,,,,,
12/4/2022 12:19,11,Conrad Bassett-Bouchard,50,Bye,0,,,,,,,
12/4/2022 10:44,12,Dave Wiegand,472,Alec Sjöholm,459,,,,,,,
12/4/2022 10:49,12,David Whitley,482,Travis Chaney,479,,,,,,,
12/4/2022 11:23,12,Peter Armstrong,471,David Brown,327,,,,,,,
12/4/2022 12:20,12,Conrad Bassett-Bouchard,50,Bye,0,,,,,,,
12/4/2022 11:20,13,Dave Wiegand,50,Bye,0,,,,,,,
12/4/2022 11:33,13,Alec Sjöholm,543,David Whitley,389,,,,,,,
12/4/2022 12:03,13,David Brown,396,Travis Chaney,377,,,,,,,
12/4/2022 12:17,13,Conrad Bassett-Bouchard,466,Peter Armstrong,405,,,,,,,
12/4/2022 11:21,14,Dave Wiegand,50,Bye,0,,,,,,, 
12/4/2022 12:30,14,David Whitley,550,Alec Sjöholm,362,,,,,,,
12/4/2022 12:45,14,David Brown,545,Travis Chaney,309,,,,,,,
12/4/2022 13:04,14,Conrad Bassett-Bouchard,433,Peter Armstrong,420,,,,,,,
12/4/2022 15:11,15,Dave Wiegand,519,David Whitley,398,,,,,,,
12/4/2022 15:11,15,Alec Sjöholm,389,Conrad Bassett-Bouchard,366,,,,,,,
12/4/2022 15:22,15,Peter Armstrong,452,David Brown,344,,,,,,,
12/4/2022 16:06,16,Alec Sjöholm,532,Peter Armstrong,406,,,,,,,
12/4/2022 16:13,16,David Whitley,621,David Brown,353,,,,,,,
12/4/2022 16:17,16,Dave Wiegand,411,Conrad Bassett-Bouchard,388,,,,,,,
12/4/2022 16:17,17,Dave Wiegand,468,Conrad Bassett-Bouchard,297,,,,,,,
12/4/2022 16:17,17,David Brown,446,Peter Armstrong,445,,,,,,,
12/4/2022 16:17,17,David Whitley,471,Alec Sjöholm,384,,,,,,,
