Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
05/27/2023 10:12:59,1,Dave Wiegand,608,Betty Cornelison,271,,,,,,,
05/27/2023 10:21:25,1,Alec Sjöholm,457,Ruth Hamilton,356,,,,,,,
05/27/2023 10:25:42,1,Bharath Balakrishnan,408,Conrad Bassett-Bouchard,407,,,,,,,
05/27/2023 10:37:52,1,Kolton Koehler,539,Christopher Grubb,377,,,,,,,
05/27/2023 10:38:17,1,David Whitley,389,Puneet Sharma,375,,,,,,,
05/27/2023 10:38:31,1,Peter Armstrong,400,Cecilia Le,344,,,,,,,
05/27/2023 11:09:10,2,Bharath Balakrishnan,457,Betty Cornelison,367,,, ,,,,
05/27/2023 11:09:47,2,Dave Wiegand,543,Ruth Hamilton,314,,,,,,,
05/27/2023 11:28:25,2,Alec Sjöholm,437,Puneet Sharma,395,,,,,,,
05/27/2023 11:33:06,2,David Whitley,504,Christopher Grubb,453,,,,,,,
05/27/2023 11:33:34,2,Peter Armstrong,482,Kolton Koehler,327,,,,,,,
05/27/2023 12:10:47,3,Conrad Bassett-Bouchard,538,Kolton Koehler,395,,,,,,,
05/27/2023 12:22:28,3,Cecilia Le,514,Betty Cornelison,317,,,,,,,
05/27/2023 11:33:36,2,Cecilia Le,482,Conrad Bassett-Bouchard,480,,,,,,,
05/27/2023 12:27:09,3,Alec Sjöholm,452,Christopher Grubb,406,,,,,,,
05/27/2023 12:27:54,3,Ruth Hamilton,506,Puneet Sharma,410,,,,,,,
05/27/2023 12:36:34,3,Peter Armstrong,485,David Whitley,370,,,,,,,
05/27/2023 12:56:23,4,Kolton Koehler,571,Betty Cornelison,268,,,,,,,
05/27/2023 13:15:32,4,Dave Wiegand,504,Puneet Sharma,391,,,,,,,
05/27/2023 13:16:30,4,David Whitley,519,Conrad Bassett-Bouchard,376,,,,,,,
05/27/2023 13:16:50,4,Christopher Grubb,461,Ruth Hamilton,347,,,,,,,
05/27/2023 13:17:53,4,Bharath Balakrishnan,400,Cecilia Le,389,,,,,,,
05/27/2023 13:22:54,3,Dave Wiegand,476,Bharath Balakrishnan,326,,,,,,,
05/27/2023 13:26:49,4,Alec Sjöholm,474,Peter Armstrong,369,,,,,,,
05/27/2023 14:41:55,5,David Whitley,519,Betty Cornelison,419,,,,,,,
05/27/2023 14:46:14,5,Conrad Bassett-Bouchard,501,Alec Sjöholm,476,,,,,,,
05/27/2023 14:50:18,5,Kolton Koehler,455,Bharath Balakrishnan,353,,,,,,,
05/27/2023 14:52:18,5,Peter Armstrong,455,Ruth Hamilton,428,,,,,,,
05/27/2023 14:54:41,5,Christopher Grubb,596,Puneet Sharma,369,,,,,,,
05/27/2023 14:56:42,5,Cecilia Le,400,Dave Wiegand,372,,,,,,,
05/27/2023 15:22:38,6,Alec Sjöholm,500,Betty Cornelison,306,,,,,,,
05/27/2023 15:32:04,6,Conrad Bassett-Bouchard,491,Ruth Hamilton,303,,,,,,,
05/27/2023 15:40:46,6,David Whitley,485,Bharath Balakrishnan,447,,,,,,,
05/27/2023 15:43:47,6,Kolton Koehler,565,Cecilia Le,275,,,,,,,
05/27/2023 15:45:23,6,Dave Wiegand,470,Christopher Grubb,433,,,,,,,
05/27/2023 15:51:45,6,Peter Armstrong,518,Puneet Sharma,359,,,,,,,
05/27/2023 16:28:19,7,Alec Sjöholm,534,Bharath Balakrishnan,430,,,,,,,
05/27/2023 16:29:29,7,Ruth Hamilton,448,Betty Cornelison,447,,,,,,,
05/27/2023 16:31:42,7,Conrad Bassett-Bouchard,476,Puneet Sharma,359,,,,,,,
05/27/2023 16:34:50,7,David Whitley,554,Cecilia Le,441,,,,,,,
05/27/2023 16:42:30,7,Kolton Koehler,478,Dave Wiegand,360,,,,,,,
05/27/2023 16:54:09,7,Christopher Grubb,361,Peter Armstrong,313,,,,,,,
05/27/2023 17:12:45,8,Bharath Balakrishnan,446,Ruth Hamilton,392,,,,,,,
05/27/2023 17:14:09,8,Puneet Sharma,596,Betty Cornelison,331,,,,,,,
05/27/2023 17:27:43,8,Conrad Bassett-Bouchard,482,Christopher Grubb,403,,,,,,,
05/27/2023 17:30:53,8,Cecilia Le,418,Alec Sjöholm,396,,,,,,,
05/27/2023 17:37:28,8,Dave Wiegand,615,Peter Armstrong,412,,,,,,,
05/27/2023 17:40:37,8,David Whitley,458,Kolton Koehler,446,,,,,,,
05/28/2023 10:22:32,9,Kolton Koehler,423,Alec Sjöholm,413,,,,,,,
05/28/2023 10:24:12,9,Puneet Sharma,483,Bharath Balakrishnan,402,,,,,,,
05/28/2023 10:25:06,9,Christopher Grubb,450,Betty Cornelison,330,,,,,,,
05/28/2023 10:25:14,9,Peter Armstrong,458,Conrad Bassett-Bouchard,353,,,,,,,
05/28/2023 10:27:56,9,Cecilia Le,361,Ruth Hamilton,334,,,,,,, 
05/28/2023 10:30:22,9,David Whitley,463,Dave Wiegand,443,,,,,,,
05/28/2023 11:11:46,10,Dave Wiegand,451,Conrad Bassett-Bouchard,442,,,,,,,
05/28/2023 11:15:15,10,Alec Sjöholm,596,David Whitley,412,,,,,,,
05/28/2023 11:19:56,10,Kolton Koehler,483,Ruth Hamilton,421,,,,,,,
05/28/2023 11:20:48,10,Peter Armstrong,441,Betty Cornelison,384,,,,,,,
05/28/2023 11:26:56,10,Bharath Balakrishnan,438,Christopher Grubb,369,,,,,,,
05/28/2023 11:29:05,10,Puneet Sharma,476,Cecilia Le,409,,,,,,,
05/28/2023 12:01:04,11,Dave Wiegand,593,Alec Sjöholm,591,,,,,,,
05/28/2023 12:02:56,11,Conrad Bassett-Bouchard,502,Betty Cornelison,383,,,,,,,
05/28/2023 12:09:48,11,David Whitley,393,Ruth Hamilton,359,,,,,,,
05/28/2023 12:13:30,11,Kolton Koehler,481,Puneet Sharma,365,,,,,,,
05/28/2023 12:20:21,11,Peter Armstrong,474,Bharath Balakrishnan,417,,,,,,,
05/28/2023 12:27:37,11,Christopher Grubb,501,Cecilia Le,408,,,,,,,
05/28/2023 13:04:29,12,Dave Wiegand,513,Kolton Koehler,376,,,,,,,
05/28/2023 13:09:19,12,Puneet Sharma,495,Ruth Hamilton,349,,,,,,,
05/28/2023 13:10:27,12,Christopher Grubb,483,Conrad Bassett-Bouchard,377,,,,,,,
05/28/2023 13:14:01,12,Alec Sjöholm,442,Bharath Balakrishnan,408,,,,,,,
05/28/2023 13:22:13,12,Cecilia Le,378,Betty Cornelison,368,,,,,,,
05/28/2023 13:26:07,12,Peter Armstrong,430,David Whitley,422,,,,,,,
05/28/2023 14:54:35,13,Kolton Koehler,489,David Whitley,444,,,,,,,
05/28/2023 14:55:51,13,Conrad Bassett-Bouchard,525,Bharath Balakrishnan,309,,,,,,,
05/28/2023 15:01:30,13,Christopher Grubb,504,Alec Sjöholm,484,,,,,,,
05/28/2023 15:06:55,13,Puneet Sharma,479,Betty Cornelison,345,,,,,,,
05/28/2023 15:07:34,13,Cecilia Le,466,Ruth Hamilton,415,,,,,,,
05/28/2023 15:09:52,13,Dave Wiegand,505,Peter Armstrong,342,,,,,,,
05/28/2023 15:48:13,14,Bharath Balakrishnan,446,Christopher Grubb,419,,,,,,,
05/28/2023 15:53:48,14,Betty Cornelison,409,Ruth Hamilton,397,,,,,,,
05/28/2023 16:02:50,14,Conrad Bassett-Bouchard,460,Alec Sjöholm,446,,,,,,,
05/28/2023 16:04:31,14,Dave Wiegand,493,David Whitley,393,,,,,,,
05/28/2023 16:06:34,14,Kolton Koehler,579,Peter Armstrong,359,,,,,,,
05/28/2023 16:09:05,14,Puneet Sharma,452,Cecilia Le,385,,,,,,,
05/28/2023 17:04:29,15,Christopher Grubb,461,Conrad Bassett-Bouchard,376,,,,,,,
05/28/2023 17:06:23,15,David Whitley,454,Kolton Koehler,382,,,,,,,
05/28/2023 17:08:17,15,Dave Wiegand,451,Peter Armstrong,412,,,,,,,
05/28/2023 17:10:02,15,Puneet Sharma,518,Betty Cornelison,245,,,,,,,
05/28/2023 17:10:58,15,Bharath Balakrishnan,418,Ruth Hamilton,368,,,,,,,
05/28/2023 17:12:58,15,Cecilia Le,407,Alec Sjöholm,359,,,,,,,
05/28/2023 17:49:23,16,Peter Armstrong,517,Kolton Koehler,459,,,,,,,
05/28/2023 17:58:27,16,Ruth Hamilton,469,Puneet Sharma,383,,,,,,,
05/28/2023 17:59:15,16,Cecilia Le,444,Conrad Bassett-Bouchard,340,,,,,,,
05/28/2023 18:01:02,16,Bharath Balakrishnan,427,Betty Cornelison,328,,,,,,,
05/28/2023 18:01:32,16,Dave Wiegand,440,David Whitley,400,,,,,,,
05/28/2023 18:06:53,16,Alec Sjöholm,479,Christopher Grubb,376,,,,,,,
05/29/2023 10:11:52,17,Kolton Koehler,501,Dave Wiegand,433,,,,,,,
05/29/2023 10:23:32,17,Conrad Bassett-Bouchard,419,Alec Sjöholm,403,,,,,,,
05/29/2023 10:24:36,17,Betty Cornelison,430,Ruth Hamilton,385,,,,,,,
05/29/2023 10:27:01,17,Puneet Sharma,453,Bharath Balakrishnan,421,,,,,,,
05/29/2023 10:32:42,17,Peter Armstrong,455,David Whitley,439,,,,,,,
05/29/2023 10:44:10,17,Christopher Grubb,494,Cecilia Le,437,,,,,,,
05/29/2023 11:24:53,18,Betty Cornelison,486,Bharath Balakrishnan,392,,,,,,,
05/29/2023 11:27:15,18,Ruth Hamilton,461,Puneet Sharma,415,,,,,,,
05/29/2023 11:33:05,18,Conrad Bassett-Bouchard,515,Cecilia Le,362,,,,,,,
05/29/2023 11:34:58,18,David Whitley,472,Kolton Koehler,456,,,,,,,
05/29/2023 11:41:39,18,Dave Wiegand,433,Peter Armstrong,353,,,,,,,
05/29/2023 11:42:14,18,Alec Sjöholm,410,Christopher Grubb,312,,,,,,,
05/29/2023 12:31:12,19,Bharath Balakrishnan,438,Conrad Bassett-Bouchard,319,,,,,,,
05/29/2023 12:40:10,19,Cecilia Le,471,Ruth Hamilton,376,,,,,,,
05/29/2023 12:42:16,19,Alec Sjöholm,650,David Whitley,350,,,,,,,
