Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
45302.87772,1,Test Player,50,Bye,0,,,,,,,
45304.34902,1,Yukiko Loritz,407,Cheryl Melvin,334,,,,,,,
45304.34971,1,Kaia,476,Terry Kang,468,,,,,,,
45304.35208,1,Jeannie Wilson,422,Bharath Balakrishnan,410,,,,,,,
45304.35587,1,Emily Brodeur,407,Lila Crotty,401,,,,,,,
45304.3574,1,Guy Ingram,433,John Karris,417,,,,,,,
45304.35834,1,Jeremy Jeffers,495,Paula Catanese,232,,, ,,,,
45304.36083,1,Noel Livermore,508,Andrea Hatch,279,,,,,,,
45304.38416,2,Bharath Balakrishnan,459,Kaia,392,,,,,,,
45304.39071,2,Jeremy Jeffers,476,Emily Brodeur,293,,,,,,,
45304.3919,2,Cheryl Melvin,351,Jeannie Wilson,294,,,,,,,
45304.39552,2,Paula Catanese,438,John Karris,335,,,,,,,
45304.39556,2,Terry Kang,536,Lila Crotty,423,,,,,,,
45304.39955,2,Noel Livermore,458,Guy Ingram,358,,,,,,,
45304.40052,2,Yukiko Loritz,410,Andrea Hatch,319,,,,,,,
45304.42895,3,John Karris,406,Emily Brodeur,347,,,,,,,
45304.42919,3,Kaia,417,Cheryl Melvin,356,,,,,,,
45304.43382,3,Bharath Balakrishnan,477,Lila Crotty,249,,,,,,,
45304.43618,3,Terry Kang,426,Jeremy Jeffers,346,,,,,,,
45304.43728,3,Noel Livermore,406,Paula Catanese,362,,,,,,,
45304.44043,3,Jeannie Wilson,378,Yukiko Loritz,354,,,,,,,
45304.45207,3,Guy Ingram,426,Andrea Hatch,310,,,,,,,
45304.47263,4,Cheryl Melvin,407,Lila Crotty,368,,,,,,,
45304.47289,4,Jeremy Jeffers,397,Bharath Balakrishnan,368,,,,,,,
45304.47472,4,Kaia,478,Jeannie Wilson,311,,,,,,,
45304.47638,4,Terry Kang,493,John Karris,461,,,,,,,
45304.47748,4,Emily Brodeur,443,Noel Livermore,439,,,,,,,
45304.48942,4,Guy Ingram,466,Yukiko Loritz,420,,,,,,,
45304.49271,4,Paula Catanese,387,Andrea Hatch,382,,,,,,,
45304.57289,5,Emily Brodeur,481,Andrea Hatch,320,,,,,,,
45304.57359,5,Bharath Balakrishnan,487,John Karris,385,,,,,,,
45304.57425,5,Jeremy Jeffers,495,Cheryl Melvin,342,,,,,,,
45304.57721,5,Kaia,470,Yukiko Loritz,399,,,,,,,
45304.58101,5,Jeannie Wilson,401,Lila Crotty,391,,,,,,,
45304.58279,5,Terry Kang,461,Noel Livermore,387,,,,,,,
45304.5895,5,Guy Ingram,324,Paula Catanese,322,,,,,,,
45304.6131,6,Jeremy Jeffers,425,Jeannie Wilson,321,,,,,,,
45304.61388,6,John Karris,507,Cheryl Melvin,267,,,,,,,
45304.62045,6,Kaia,324,Lila Crotty,295,,,,,,,
45304.62245,6,Noel Livermore,445,Bharath Balakrishnan,433,,,,,,,
45304.62267,6,Yukiko Loritz,529,Paula Catanese,329,,,,,,,
45304.62347,6,Terry Kang,457,Andrea Hatch,272,,,,,,,
45304.63006,6,Emily Brodeur,476,Guy Ingram,443,,,,,,,
45304.65112,7,Jeannie Wilson,369,John Karris,352,,,,,,,
45304.6558,7,Jeremy Jeffers,451,Kaia,312,,,,,,,
45304.65934,7,Noel Livermore,459,Cheryl Melvin,361,,,,,,,
45304.6608,7,Bharath Balakrishnan,433,Andrea Hatch,418,,,,,,,
45304.66098,7,Lila Crotty,480,Yukiko Loritz,443,,,,,,,
45304.66477,7,Emily Brodeur,413,Paula Catanese,369,,,,,,,
45304.66894,7,Guy Ingram,542,Terry Kang,388,,,,,,,
45304.689,8,John Karris,560,Kaia,296,,,,,,,
45304.69523,8,Lila Crotty,513,Jeremy Jeffers,369,,,,,,,
45304.69747,8,Noel Livermore,384,Jeannie Wilson,334,,,,,,, 
45304.69771,8,Terry Kang,505,Paula Catanese,325,,,,,,,
45304.69858,8,Yukiko Loritz,492,Emily Brodeur,346,,,,,,,
45304.70468,8,Bharath Balakrishnan,527,Guy Ingram,384,,,,,,,
45304.70586,8,Cheryl Melvin,434,Andrea Hatch,419,,,,,,,
45305.3456,9,Terry Kang,441,Emily Brodeur,368,,,,,,,
45305.34668,9,Noel Livermore,419,Kaia,373,,,,,,,
45305.34713,9,John Karris,433,Lila Crotty,390,,,,,,,
45305.34796,9,Yukiko Loritz,458,Jeremy Jeffers,342,,,,,,,
45305.35013,9,Bharath Balakrishnan,487,Paula Catanese,317,,,,,,,
45305.35113,9,Andrea Hatch,375,Jeannie Wilson,334,,,,,,,
45305.35366,9,Cheryl Melvin,389,Guy Ingram,333,,,,,,,
45305.37929,10,Emily Brodeur,399,Bharath Balakrishnan,282,,,,,,,
45305.38764,10,Andrea Hatch,400,Kaia,330,,,,,,,
45305.39103,10,Yukiko Loritz,423,Terry Kang,400,,,,,,,
45305.39153,10,Lila Crotty,395,Noel Livermore,354,,,,,,,
45305.39174,10,Jeremy Jeffers,409,John Karris,315,,,,,,,
