Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
45304.34892,1,Robert Linn,491,Matthew O'Connor,369,,,,,,,
45304.35271,1,Ben Schoenbrun,543,Mohammad Sulaiman,379,,,,,,,
45304.35477,1,Jason Ubeika,455,Evan Berofsky,410,,,,,,,
45304.35565,1,Dean Saldanha,436,Becky Dyer,426,,,,,,,
45304.35669,1,Sam Rosin,551,Brad Whitmarsh,398,,,,,,,
45304.35811,1,Stefan Kac,446,Joshua Castellano,411,,,,,,,
45304.35853,1,Evans Clinchy,513,Tim Weiss,380,,, ,,,,
45304.35881,1,Rob Robinsky,530,Randi Goldberg,411,,,,,,,
45304.35928,1,Austin Shin,535,Jennifer Clinchy,327,,,,,,,
45304.36007,1,Erickson Smith,444,Chris Lipe,424,,,,,,,
45304.36065,1,Kevin Fraley,426,Puneet Sharma,384,,,,,,,
45304.3616,1,Dave Wiegand,455,David Brown,444,,,,,,,
45304.39359,2,Dave Wiegand,560,Stefan Kac,342,,,,,,,
45304.39538,2,Evans Clinchy,476,Jason Ubeika,333,,,,,,,
45304.39627,2,Evan Berofsky,520,Tim Weiss,338,,,,,,,
45304.3973,2,Matthew O'Connor,464,Jennifer Clinchy,413,,,,,,,
45304.39905,2,Robert Linn,497,Austin Shin,478,,,,,,,
45304.39905,2,Ben Schoenbrun,492,Erickson Smith,486,,,,,,,
45304.40034,2,Dean Saldanha,450,Randi Goldberg,408,,,,,,,
45304.40096,2,Joshua Castellano,506,David Brown,401,,,,,,,
45304.40215,2,Sam Rosin,577,Puneet Sharma,326,,,,,,,
45304.40513,2,Chris Lipe,478,Mohammad Sulaiman,354,,,,,,,
45304.40623,2,Becky Dyer,429,Rob Robinsky,346,,,,,,,
45304.40781,2,Kevin Fraley,416,Brad Whitmarsh,406,,,,,,,
45304.43796,3,Tim Weiss,480,Jason Ubeika,475,,,,,,,
45304.43887,3,Dave Wiegand,529,Joshua Castellano,389,,,,,,,
45304.43948,3,Stefan Kac,494,David Brown,359,,,,,,,
45304.43972,3,Ben Schoenbrun,479,Chris Lipe,457,,,,,,,
45304.44125,3,Jennifer Clinchy,474,Robert Linn,418,,,,,,,
45304.44279,3,Puneet Sharma,569,Brad Whitmarsh,439,,,,,,,
45304.44296,3,Evans Clinchy,526,Evan Berofsky,394,,,,,,,
45304.44307,3,Matthew O'Connor,453,Austin Shin,452,,,,,,,
45304.44561,3,Randi Goldberg,520,Becky Dyer,372,,,,,,,
45304.44818,3,Erickson Smith,474,Mohammad Sulaiman,412,,,,,,,
45304.4483,3,Rob Robinsky,544,Dean Saldanha,468,,,,,,,
45304.45319,3,Kevin Fraley,495,Sam Rosin,439,,,,,,,
45304.47037,4,Matthew O'Connor,500,David Brown,366,,,,,,,
45304.47546,4,Dave Wiegand,442,Ben Schoenbrun,398,,,,,,,
45304.47727,4,Chris Lipe,518,Evan Berofsky,342,,,,,,,
45304.48183,4,Tim Weiss,415,Puneet Sharma,358,,,,,,,
45304.48237,4,Jason Ubeika,456,Stefan Kac,450,,,,,,,
45304.48238,4,Joshua Castellano,489,Becky Dyer,353,,,,,,,
45304.48407,4,Randi Goldberg,465,Brad Whitmarsh,428,,,,,,,
45304.48468,4,Austin Shin,541,Kevin Fraley,342,,,,,,,
45304.48684,4,Dean Saldanha,418,Robert Linn,390,,,,,,,
45304.48951,4,Erickson Smith,434,Rob Robinsky,420,,,,,,,
45304.49146,4,Mohammad Sulaiman,506,Jennifer Clinchy,270,,,,,,,
45304.51429,4,Sam Rosin,482,Evans Clinchy,378,,,,,,,
45304.57194,5,Evan Berofsky,423,Becky Dyer,367,,,,,,,
45304.57495,5,Austin Shin,529,Ben Schoenbrun,432,,,,,,,
45304.57604,5,Chris Lipe,549,Sam Rosin,442,,,,,,,
45304.57803,5,Matthew O'Connor,421,Erickson Smith,353,,,,,,,
45304.57834,5,Stefan Kac,486,Tim Weiss,355,,,,,,, 
45304.58116,5,Rob Robinsky,443,Joshua Castellano,384,,,,,,,
45304.58177,5,Kevin Fraley,443,Dean Saldanha,358,,,,,,,
45304.58197,5,Robert Linn,478,Randi Goldberg,335,,,,,,,
45304.58235,5,Puneet Sharma,421,Jennifer Clinchy,388,,,,,,,
45304.58289,5,Evans Clinchy,429,Dave Wiegand,406,,,,,,,
45304.58293,5,David Brown,502,Brad Whitmarsh,326,,,,,,,
45304.58295,5,Mohammad Sulaiman,447,Jason Ubeika,280,,,,,,,
45304.60979,6,Sam Rosin,464,Ben Schoenbrun,311,,,,,,,
45304.61421,6,Dave Wiegand,505,Evans Clinchy,308,,,,,,,
45304.61697,6,Chris Lipe,457,Rob Robinsky,288,,,,,,,
45304.61887,6,Stefan Kac,432,Robert Linn,387,,,,,,,
45304.62039,6,Austin Shin,505,Joshua Castellano,371,,,,,,,
45304.62407,6,Becky Dyer,426,Puneet Sharma,333,,,,,,,
45304.62453,6,Erickson Smith,553,Kevin Fraley,341,,,,,,,
45304.62463,6,Tim Weiss,477,Mohammad Sulaiman,355,,,,,,,
45304.62516,6,Evan Berofsky,426,David Brown,395,,,,,,,
45304.6258,6,Randi Goldberg,452,Jason Ubeika,415,,,,,,,
45304.62752,6,Matthew O'Connor,362,Dean Saldanha,359,,,,,,,
45304.63002,6,Jennifer Clinchy,473,Brad Whitmarsh,373,,,,,,,
45304.65293,7,Chris Lipe,522,Robert Linn,488,,,,,,,
45304.66045,7,Dave Wiegand,514,Kevin Fraley,363,,,,,,,
45304.66388,7,Puneet Sharma,412,Randi Goldberg,347,,,,,,,
45304.66491,7,Becky Dyer,487,Brad Whitmarsh,457,,,,,,,
45304.66522,7,Rob Robinsky,463,Ben Schoenbrun,450,,,,,,,
45304.66546,7,Evans Clinchy,514,Matthew O'Connor,426,,,,,,,
45304.66591,7,Jennifer Clinchy,484,Jason Ubeika,319,,,,,,,
45304.66622,7,Stefan Kac,430,Erickson Smith,408,,,,,,,
45304.66709,7,Sam Rosin,444,Austin Shin,345,,,,,,,
45304.66799,7,Evan Berofsky,419,Joshua Castellano,339,,,,,,,
45304.67017,7,Tim Weiss,415,David Brown,321,,,,,,,
45304.67154,7,Mohammad Sulaiman,482,Dean Saldanha,426,,,,,,,
45304.69446,8,Kevin Fraley,479,Robert Linn,402,,,,,,,
45304.6967,8,Matthew O'Connor,474,Dave Wiegand,423,,,,,,,
45304.69834,8,Chris Lipe,455,Stefan Kac,381,,,,,,,
45304.69943,8,Brad Whitmarsh,520,Jason Ubeika,379,,,,,,,
45304.70573,8,Sam Rosin,544,Austin Shin,441,,,,,,,
45304.70694,8,Joshua Castellano,540,Puneet Sharma,337,,,,,,,
45304.70804,8,David Brown,441,Jennifer Clinchy,396,,,,,,,
45304.70985,8,Ben Schoenbrun,490,Dean Saldanha,375,,,,,,,
45304.70986,8,Mohammad Sulaiman,460,Becky Dyer,267,,,,,,,
45304.71003,8,Randi Goldberg,414,Evan Berofsky,321,,,,,,,
45304.71079,8,Evans Clinchy,514,Erickson Smith,294,,,,,,,
45304.7128,8,Tim Weiss,568,Rob Robinsky,454,,,,,,,
45305.346,9,Stefan Kac,391,Matthew O'Connor,374,,,,,,,
45305.34602,9,Evans Clinchy,486,Chris Lipe,404,,,,,,,
45305.34811,9,Erickson Smith,539,Randi Goldberg,311,,,,,,,
45305.34959,9,Dean Saldanha,464,Brad Whitmarsh,406,,,,,,,
45305.34995,9,Tim Weiss,475,Kevin Fraley,408,,,,,,,
45305.35035,9,Robert Linn,444,Rob Robinsky,397,,,,,,,
45305.35122,9,Ben Schoenbrun,516,Evan Berofsky,442,,,,,,,
45305.35134,9,Austin Shin,485,Mohammad Sulaiman,407,,,,,,,
45305.35228,9,Sam Rosin,418,Dave Wiegand,342,,,,,,,
45305.35249,9,Becky Dyer,427,Jason Ubeika,401,,,,,,,
45305.35395,9,Joshua Castellano,466,Jennifer Clinchy,314,,,,,,,
45305.35716,9,David Brown,479,Puneet Sharma,346,,,,,,,
45305.3806,10,Evans Clinchy,513,Stefan Kac,344,,,,,,,
45305.38611,10,Austin Shin,531,Tim Weiss,408,,,,,,,
45305.38641,10,Robert Linn,503,Erickson Smith,322,,,,,,,
45305.38843,10,Sam Rosin,517,Matthew O'Connor,387,,,,,,,
45305.39009,10,Randi Goldberg,445,Ben Schoenbrun,378,,,,,,,
45305.39319,10,Dave Wiegand,451,Chris Lipe,422,,,,,,,
45305.39519,10,Becky Dyer,449,David Brown,382,,,,,,,
45305.39671,10,Joshua Castellano,429,Brad Whitmarsh,423,,,,,,,
45305.39719,10,Dean Saldanha,467,Jennifer Clinchy,314,,,,,,,
45305.39725,10,Rob Robinsky,430,Evan Berofsky,421,,,,,,,
45305.4019,10,Kevin Fraley,398,Mohammad Sulaiman,397,,,,,,,
45305.42883,11,Chris Lipe,493,Matthew O'Connor,393,,,,,,,
45305.4309,11,Evans Clinchy,493,Austin Shin,479,,,,,,,
45305.43311,11,Dave Wiegand,475,Tim Weiss,390,,,,,,,
45305.43405,11,Becky Dyer,507,Jennifer Clinchy,408,,,,,,,
45305.43462,11,Mohammad Sulaiman,465,Randi Goldberg,428,,,,,,,
45305.43543,11,Kevin Fraley,444,Ben Schoenbrun,385,,,,,,,
45305.43547,11,Jason Ubeika,468,David Brown,336,,,,,,,
45305.43559,11,Sam Rosin,446,Stefan Kac,430,,,,,,,
45305.43659,11,Robert Linn,478,Evan Berofsky,410,,,,,,,
45305.43909,10,Jason Ubeika,474,Puneet Sharma,454,,,,,,,
