"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score",,,,,,,
"01/17/26 08:19 AM",1,"Josh Sokol",457,"Scott Jackson",406,,,,,,,
"01/17/26 08:19 AM",1,"Dave Wiegand",539,"Randi Goldberg",340,,,,,,,
"01/17/26 08:25 AM",1,"Austin Shin",425,"Sandy Nang",366,,,,,,,
"01/17/26 08:26 AM",1,"Chris Lipe",525,"Erickson Smith",402,,,,,,,
"01/17/26 08:26 AM",1,"Evans Clinchy",578,"Puneet Sharma",425,,,,,,,
"01/17/26 08:26 AM",1,"Geoff Thevenot",470,"Rob Robinsky",459,,,,,,,
"01/17/26 08:27 AM",1,"Matthew O'Connor",481,"Ekansh Arora",437,,," ",,,,
"01/17/26 08:27 AM",1,"Greg Harper",536,"Thomas Reinke",424,,,,,,,
"01/17/26 08:30 AM",1,"Jason Ubeika",475,"Joshua Castellano",374,,,,,,,
"01/17/26 08:31 AM",1,"Ben Schoenbrun",395,"Tim Weiss",366,,,,,,,
"01/17/26 08:34 AM",1,"Mohammad Sulaiman",412,"Eta Karo",388,,,,,,,
"01/17/26 08:34 AM",1,"Charles Reinke",447,"Kevin Fraley",355,,,,,,,
"01/17/26 09:11 AM",2,"Matthew O'Connor",522,"Tim Weiss",478,,,,,,,
"01/17/26 09:17 AM",2,"Scott Jackson",452,"Austin Shin",414,,,,,,,
"01/17/26 09:18 AM",2,"Geoff Thevenot",597,"Jason Ubeika",392,,,,,,,
"01/17/26 09:24 AM",2,"Puneet Sharma",567,"Eta Karo",382,,,,,,,
"01/17/26 09:24 AM",2,"Greg Harper",450,"Charles Reinke",289,,,,,,,
"01/17/26 09:27 AM",2,"Josh Sokol",528,"Sandy Nang",352,,,,,,,
"01/17/26 09:27 AM",2,"Joshua Castellano",590,"Rob Robinsky",338,,,,,,,
"01/17/26 09:28 AM",2,"Erickson Smith",470,"Randi Goldberg",352,,,,,,,
"01/17/26 09:30 AM",2,"Thomas Reinke",468,"Kevin Fraley",435,,,,,,,
"01/17/26 09:33 AM",2,"Dave Wiegand",500,"Chris Lipe",481,,,,,,,
"01/17/26 09:33 AM",2,"Evans Clinchy",529,"Mohammad Sulaiman",392,,,,,,,
"01/17/26 09:34 AM",2,"Ekansh Arora",467,"Ben Schoenbrun",435,,,,,,,
"01/17/26 10:12 AM",3,"Sandy Nang",439,"Scott Jackson",383,,,,,,,
"01/17/26 10:21 AM",3,"Jason Ubeika",434,"Rob Robinsky",405,,,,,,,
"01/17/26 10:22 AM",3,"Charles Reinke",453,"Thomas Reinke",392,,,,,,,
"01/17/26 10:24 AM",3,"Dave Wiegand",516,"Erickson Smith",376,,,,,,,
"01/17/26 10:24 AM",3,"Ben Schoenbrun",450,"Matthew O'Connor",421,,,,,,,
"01/17/26 10:26 AM",3,"Josh Sokol",531,"Austin Shin",453,,,,,,,
"01/17/26 10:29 AM",3,"Mohammad Sulaiman",447,"Puneet Sharma",378,,,,,,,
"01/17/26 10:30 AM",3,"Joshua Castellano",460,"Geoff Thevenot",417,,,,,,,
"01/17/26 10:30 AM",3,"Tim Weiss",526,"Ekansh Arora",449,,,,,,,
"01/17/26 10:31 AM",3,"Eta Karo",415,"Evans Clinchy",397,,,,,,,
"01/17/26 10:32 AM",3,"Kevin Fraley",567,"Greg Harper",297,,,,,,,
"01/17/26 10:33 AM",3,"Chris Lipe",435,"Randi Goldberg",419,,,,,,,
