Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
45122.4758,1,Christopher Grubb,515,Walker Willingham,340,,,,,,,
45122.47836,1,Evans Clinchy,488,Tara Hurley,415,,,,,,,
45122.48679,1,Jesse Day,483,Chris Tallman,402,,,,,,,
45122.51322,2,Christopher Grubb,423,Walker Willingham,389,,,,,,,
45122.51707,2,Evans Clinchy,553,Tara Hurley,294,,,,,,,
45122.52157,2,Chris Tallman,549,Jesse Day,418,,,,,,,
45122.55736,3,Walker Willingham,499,Isaac Lipnik,297,,, ,,,,
45122.55868,3,Christopher Grubb,464,Evans Clinchy,369,,,,,,,
45122.56058,3,Jesse Day,443,Tara Hurley,343,,,,,,,
45122.58976,4,Walker Willingham,405,Isaac Lipnik,324,,,,,,,
45122.59862,4,Evans Clinchy,475,Christopher Grubb,351,,,,,,,
45122.60286,4,Jesse Day,449,Tara Hurley,419,,,,,,,
45122.6745,5,Christopher Grubb,548,Tara Hurley,358,,,,,,,
45122.67975,5,Walker Willingham,418,Chris Tallman,360,,,,,,,
45122.70611,6,Evans Clinchy,399,Isaac Lipnik,325,,,,,,,
45122.71043,6,Walker Willingham,396,Chris Tallman,368,,,,,,,
45122.71135,6,Tara Hurley,435,Christopher Grubb,391,,,,,,,
45122.4758,1,Isaac Lipnik,50,Bye,0,,,,,,,
45122.4758,2,Isaac Lipnik,50,Bye,0,,,,,,,
45122.4758,3,Chris Tallman,50,Bye,0,,,,,,,
45122.4758,4,Chris Tallman,50,Bye,0,,,,,,,
45122.4758,5,Jesse Day,50,Bye,0,,,,,,,
45122.4758,6,Jesse Day,50,Bye,0,,,,,,,
45122.4758,7,Evans Clinchy,50,Bye,0,,,,,,,
45122.747,7,Christopher Grubb,577,Isaac Lipnik,300,,,,,,,
45122.70611,5,Evans Clinchy,507,Isaac Lipnik,375,,,,,,,
45122.75421,7,Chris Tallman,452,Tara Hurley,338,,,,,,,
45122.76001,7,Jesse Day,542,Walker Willingham,281,,,,,,,
45122.79395,8,Christopher Grubb,562,Isaac Lipnik,306,,,,,,,
45123.45307,8,Tara Hurley,484,Isaac Lipnik,303,,,,,,,
45123.45685,8,Chris Tallman,419,Evans Clinchy,363,,,,,,,
45123.45961,9,Jesse Day,500,Christopher Grubb,364,,,,,,,
45123.49435,9,Chris Tallman,510,Tara Hurley,283,,,,,,,
45122.4758,8,Walker Willingham,50,Bye,0,,,,,,,
45122.4758,9,Evans Clinchy,50,Bye,0,,,,,,,
45123.50338,9,Jesse Day,468,Walker Willingham,374,,,,,,,
45123.53961,10,Tara Hurley,425,Isaac Lipnik,358,,,,,,,
45123.54619,10,Chris Tallman,435,Evans Clinchy,424,,,,,,,
45123.55023,10,Jesse Day,566,Christopher Grubb,352,,,,,,,
45123.58206,11,Christopher Grubb,517,Chris Tallman,401,,,,,,,
45123.59264,11,Jesse Day,489,Isaac Lipnik,311,,,,,,,
45123.50338,11,Evans Clinchy,514,Walker Willingham,404,,,,,,,
45123.50338,11,Tara Hurley,50,Bye,0,,,,,,,
45122.4758,10,Walker Willingham,50,Bye,0,,,,,,,
45123.69111,12,Evans Clinchy,484,Walker Willingham,400,,,,,,,
45123.69167,12,Chris Tallman,463,Christopher Grubb,460,,,,,,,
45123.59264,12,Jesse Day,574,Isaac Lipnik,330,,,,,,,
45123.50338,12,Tara Hurley,50,Bye,0,,,,,,,
45123.50338,13,Christopher Grubb,50,Bye,0,,,,,,,
45123.50338,14,Christopher Grubb,50,Bye,0,,,,,,,
45123.72513,13,Chris Tallman,568,Isaac Lipnik,305,,,,,,,
45123.73875,13,Walker Willingham,443,Tara Hurley,409,,,,,,,
45123.73876,13,Evans Clinchy,496,Jesse Day,437,,,,,,, 
45123.76564,14,Chris Tallman,550,Isaac Lipnik,221,,,,,,,
45123.77598,14,Tara Hurley,431,Walker Willingham,346,,,,,,,
45123.73876,14,Evans Clinchy,584,Jesse Day,458,,,,,,,
