Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
04/15/2023 6:42:23,1,Ben Schoenbrun,502,Daniel Milton,349,,,,,,,
04/15/2023 6:44:03,1,Sammy Okosagah,515,Tim Weiss,371,,,,,,,
04/15/2023 6:49:37,1,Joshua Castellano,466,Matthew O'Connor,386,,,,,,,
04/15/2023 7:02:53,1,Rob Robinsky,462,Robert Linn,416,,,,,,,
04/15/2023 7:22:06,2,Sammy Okosagah,545,Matthew O'Connor,443,,,,,,,
04/15/2023 7:38:17,2,Tim Weiss,492,Daniel Milton,372,,, ,,,,
04/15/2023 7:54:58,2,Ben Schoenbrun,488,Robert Linn,386,,,,,,,
04/15/2023 7:57:04,2,Rob Robinsky,395,Joshua Castellano,298,,,,,,,
04/15/2023 8:30:16,3,Matthew O'Connor,453,Daniel Milton,426,,,,,,,
04/15/2023 8:41:45,3,Sammy Okosagah,469,Rob Robinsky,404,,,,,,,
04/15/2023 8:47:06,3,Tim Weiss,466,Ben Schoenbrun,434,,,,,,,
04/15/2023 8:49:23,3,Joshua Castellano,395,Robert Linn,377,,,,,,,
04/15/2023 9:34:35,4,Tim Weiss,431,Matthew O'Connor,378,,,,,,,
04/15/2023 9:38:17,4,Robert Linn,482,Sammy Okosagah,394,,,,,,,
04/15/2023 9:40:28,4,Rob Robinsky,421,Daniel Milton,331,,,,,,,
04/15/2023 9:44:35,4,Joshua Castellano,436,Ben Schoenbrun,388,,,,,,,
04/15/2023 12:02:07,5,Sammy Okosagah,424,Joshua Castellano,379,,,,,,,
04/15/2023 12:03:41,5,Matthew O'Connor,479,Ben Schoenbrun,460,,,,,,,
04/15/2023 12:08:35,5,Robert Linn,463,Daniel Milton,365,,,,,,,
04/15/2023 12:10:36,5,Tim Weiss,387,Rob Robinsky,312,,,,,,,
04/15/2023 12:37:41,6,Sammy Okosagah,526,Ben Schoenbrun,421,,,,,,,
04/15/2023 12:49:51,6,Joshua Castellano,564,Daniel Milton,365,,,,,,,
04/15/2023 12:56:07,6,Robert Linn,461,Tim Weiss,378,,,,,,,
04/15/2023 12:59:17,6,Rob Robinsky,473,Matthew O'Connor,410,,,,,,,
04/15/2023 13:32:21,7,Sammy Okosagah,494,Daniel Milton,273,,,,,,,
04/15/2023 13:39:01,7,Joshua Castellano,621,Tim Weiss,347,,,,,,,
04/15/2023 13:39:08,7,Ben Schoenbrun,478,Rob Robinsky,375,,,,,,,
04/15/2023 13:41:00,7,Matthew O'Connor,449,Robert Linn,341,,,,,,,
04/15/2023 14:22:26,8,Ben Schoenbrun,502,Daniel Milton,495,,,,,,,
04/15/2023 14:25:18,8,Tim Weiss,416,Sammy Okosagah,394,,,,,,,
04/15/2023 14:35:19,8,Matthew O'Connor,456,Joshua Castellano,346,,,,,,,
04/15/2023 14:44:40,8,Robert Linn,440,Rob Robinsky,390,,,,,,,
04/16/2023 6:44:28,9,Ben Schoenbrun,515,Robert Linn,382,,,,,,,
04/16/2023 6:48:58,9,Tim Weiss,519,Daniel Milton,353,,,,,,,
04/16/2023 6:50:21,9,Sammy Okosagah,452,Matthew O'Connor,437,,,,,,,
04/16/2023 7:02:45,9,Joshua Castellano,503,Rob Robinsky,455,,,,,,,
04/16/2023 7:38:19,10,Tim Weiss,530,Ben Schoenbrun,453,,,,,,,
04/16/2023 7:41:36,10,Matthew O'Connor,454,Daniel Milton,396,,,,,,,
04/16/2023 7:49:06,10,Sammy Okosagah,505,Rob Robinsky,447,,,,,,,
04/16/2023 7:50:36,10,Joshua Castellano,490,Robert Linn,409,,,,,,,
04/16/2023 8:25:05,11,Matthew O'Connor,587,Tim Weiss,307,,,,,,,
04/16/2023 8:36:00,11,Joshua Castellano,466,Ben Schoenbrun,338,,,,,,,
04/16/2023 8:36:38,11,Robert Linn,446,Sammy Okosagah,416,,,,,,,
04/16/2023 8:42:39,11,Rob Robinsky,491,Daniel Milton,467,,,,,,,
04/16/2023 10:26:34,12,Ben Schoenbrun,510,Matthew O'Connor,330,,,,,,,
04/16/2023 10:38:45,12,Joshua Castellano,578,Sammy Okosagah,423,,,,,,,
04/16/2023 10:47:51,12,Rob Robinsky,483,Tim Weiss,454,,,,,,,
04/16/2023 10:47:51,12,Daniel Milton,430,Robert Linn,332,,,,,,,
04/16/2023 11:27:08,13,Ben Schoenbrun,579,Sammy Okosagah,411,,,,,,,
04/16/2023 11:41:34,13,Tim Weiss,489,Robert Linn,338,,,,,,,
04/16/2023 11:41:36,13,Rob Robinsky,429,Matthew O'Connor,374,,,,,,,
04/16/2023 10:30:34,13,Joshua Castellano,501,Daniel Milton,350,,,,,,, 
04/16/2023 12:19:02,14,Sammy Okosagah,496,Daniel Milton,390,,,,,,,
04/16/2023 12:31:44,14,Robert Linn,381,Matthew O'Connor,376,,,,,,,
04/16/2023 12:35:33,14,Ben Schoenbrun,473,Rob Robinsky,425,,,,,,,
04/16/2023 12:49:02,14,Joshua Castellano,445,Tim Weiss,412,,,,,,,
