Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
45045.31824,1,Jason Keller,461,Matthew O'Connor,368,,,,,,,
45045.32176,1,Stefan Rau,571,Evans Clinchy,302,,,,,,,
45045.32219,1,Ben Schoenbrun,478,Robert Linn,349,,,,,,,
45045.32419,1,Matthew Tunnicliffe,490,Erickson Smith,336,,,,,,,
45045.32433,1,Rasheed Balogun,522,Chris Lipe,376,,,,,,,
45045.32596,1,Brad Whitmarsh,575,Conrad Bassett-Bouchard,374,,,,,,,
45045.32865,1,Brian Bowman,514,Jeremy Khoo,335,,, ,,,,
45045.33005,1,Joshua Castellano,433,Josh Sokol,427,,,,,,,
45045.33337,1,Rob Robinsky,472,Wolfram Poh,373,,,,,,,
45045.36086,2,Evans Clinchy,539,Jason Keller,369,,,,,,,
45045.3652,2,Matthew O'Connor,424,Chris Lipe,413,,,,,,,
45045.36571,2,Erickson Smith,507,Ben Schoenbrun,400,,,,,,,
45045.36824,2,Rasheed Balogun,457,Brian Bowman,412,,,,,,,
45045.37003,2,Josh Sokol,437,Matthew Tunnicliffe,406,,,,,,,
45045.3706,2,Conrad Bassett-Bouchard,388,Robert Linn,383,,,,,,,
45045.37159,2,Joshua Castellano,465,Stefan Rau,334,,,,,,,
45045.37336,2,Wolfram Poh,518,Brad Whitmarsh,464,,,,,,,
45045.37381,2,Jeremy Khoo,455,Rob Robinsky,407,,,,,,,
45045.40204,3,Stefan Rau,565,Matthew Tunnicliffe,329,,,,,,,
45045.40228,3,Chris Lipe,438,Evans Clinchy,420,,,,,,,
45045.40241,3,Brian Bowman,463,Matthew O'Connor,440,,,,,,,
45045.40841,3,Ben Schoenbrun,474,Josh Sokol,470,,,,,,,
45045.40889,3,Rob Robinsky,499,Rasheed Balogun,353,,,,,,,
45045.41163,3,Jason Keller,401,Joshua Castellano,390,,,,,,,
45045.41353,3,Robert Linn,416,Erickson Smith,408,,,,,,,
45045.41432,3,Conrad Bassett-Bouchard,590,Wolfram Poh,307,,,,,,,
45045.41895,3,Brad Whitmarsh,475,Jeremy Khoo,354,,,,,,,
45045.4391,4,Ben Schoenbrun,450,Stefan Rau,434,,,,,,,
45045.43981,4,Brian Bowman,500,Evans Clinchy,317,,,,,,,
45045.44333,4,Conrad Bassett-Bouchard,474,Erickson Smith,373,,,,,,,
45045.44485,4,Rob Robinsky,449,Matthew O'Connor,394,,,,,,,
45045.44678,4,Robert Linn,546,Josh Sokol,358,,,,,,,
45045.44684,4,Matthew Tunnicliffe,565,Jason Keller,454,,,,,,,
45045.45024,4,Chris Lipe,452,Joshua Castellano,446,,,,,,,
45045.4514,4,Brad Whitmarsh,445,Rasheed Balogun,373,,,,,,,
45045.46072,4,Wolfram Poh,488,Jeremy Khoo,382,,,,,,,
45045.51368,5,Ben Schoenbrun,477,Jason Keller,299,,,,,,,
45045.51758,5,Conrad Bassett-Bouchard,546,Jeremy Khoo,405,,,,,,,
45045.51866,5,Robert Linn,526,Stefan Rau,451,,,,,,,
45045.51987,5,Brad Whitmarsh,476,Matthew O'Connor,354,,,,,,,
45045.52157,5,Rob Robinsky,546,Evans Clinchy,318,,,,,,,
45045.5237,5,Erickson Smith,495,Josh Sokol,420,,,,,,,
45045.52619,5,Brian Bowman,466,Joshua Castellano,388,,,,,,,
45045.52631,5,Matthew Tunnicliffe,482,Chris Lipe,452,,,,,,,
45045.5273,5,Wolfram Poh,428,Rasheed Balogun,394,,,,,,,
45045.55421,6,Jason Keller,557,Robert Linn,438,,,,,,,
45045.55537,6,Rasheed Balogun,443,Jeremy Khoo,350,,,,,,,
45045.55538,6,Evans Clinchy,451,Brad Whitmarsh,440,,,,,,,
45045.55554,6,Conrad Bassett-Bouchard,514,Josh Sokol,431,,,,,,,
45045.55706,6,Rob Robinsky,447,Joshua Castellano,414,,,,,,,
45045.55934,6,Wolfram Poh,421,Matthew O'Connor,385,,,,,,,
45045.56046,6,Matthew Tunnicliffe,465,Brian Bowman,387,,,,,,,
45045.5613,6,Ben Schoenbrun,451,Chris Lipe,388,,,,,,, 
45045.56433,6,Stefan Rau,473,Erickson Smith,411,,,,,,,
45045.58848,7,Evans Clinchy,412,Wolfram Poh,362,,,,,,,
45045.5928,7,Conrad Bassett-Bouchard,493,Rasheed Balogun,342,,,,,,,
45045.59453,7,Ben Schoenbrun,451,Brian Bowman,296,,,,,,,
45045.59811,7,Josh Sokol,451,Stefan Rau,416,,,,,,,
45045.59976,7,Jason Keller,570,Erickson Smith,375,,,,,,,
45045.59992,7,Robert Linn,464,Chris Lipe,358,,,,,,,
