"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score",
"08/02/25 07:59 AM",1,"David Whitley",514,"Wellington Jighere",409,"Second"
"08/02/25 08:03 AM",1,"Josh Sokol",511,"Rasheed Balogun",445,"First"
"08/02/25 08:11 AM",1,"Alec Sjöholm",447,"Scott Jackson",404,"First"
"08/02/25 08:11 AM",1,"Enoch Nwali",469,"Tim Weiss",416,"First"
"08/02/25 08:13 AM",1,"Dave Wiegand",534,"Winter",429,"First"
"08/02/25 08:14 AM",1,"Laurie Cohen",504,"Peter Armstrong",396,"First"
"08/02/25 08:16 AM",1,"Austin Shin",562,"Chris Lipe",442,"First"
"08/02/25 08:17 AM",1,"Kevin Fraley",444,"Dennis Ikekeregor",362,"Second"
"08/02/25 08:19 AM",1,"Joel Wapnick",420,"Sammy Okosagah",350,"First"
"08/02/25 08:20 AM",1,"Geoff Thevenot",455,"Waseem Khatri",395,"First"
"08/02/25 08:23 AM",1,"Mpakaboari Jack",423,"Ben Schoenbrun",399,"Second"
"08/02/25 08:23 AM",1,"Eta Karo",579,"Robert Linn",432,"First"
"08/02/25 08:25 AM",1,"Joshua Castellano",528,"Rob Robinsky",418,"First"
"08/02/25 08:26 AM",1,"Brad Whitmarsh",456,"Brian Bowman",380,"Second"
"08/02/25 08:27 AM",1,"Becky Dyer",465,"Puneet Sharma",460,"First"
"08/02/25 09:05 AM",2,"Scott Jackson",446,"Dennis Ikekeregor",416,"First"
"08/02/25 09:05 AM",2,"Dave Wiegand",465,"Sammy Okosagah",441,"Second"
"08/02/25 09:06 AM",2,"Alec Sjöholm",467,"Kevin Fraley",434,"Second"
"08/02/25 09:13 AM",2,"Enoch Nwali",452,"Rasheed Balogun",359,"Second"
"08/02/25 09:14 AM",2,"David Whitley",537,"Austin Shin",387,"First"
"08/02/25 09:15 AM",2,"Josh Sokol",468,"Tim Weiss",375,"Second"
"08/02/25 09:15 AM",2,"Emmanuel Egbele",497,"Mark Kenas",417,"First"
"08/02/25 09:16 AM",2,"Ben Schoenbrun",550,"Brad Whitmarsh",374,"Second"
"08/02/25 09:18 AM",2,"Winter",473,"Joel Wapnick",469,"First"
"08/02/25 09:19 AM",2,"Joshua Castellano",498,"Peter Armstrong",474,"Second"
"08/02/25 09:21 AM",2,"Becky Dyer",438,"Akeem Adekunle",380,"First"
