NICKstateNAME                   s4mpleopen.tou 20200110
CBAS USA Conrad BB               0 2063 20200101
JOLA USA John O'Laughlin         0 1997 20200101
BSCH USA Ben Schoenbrun          0 1970 20200101
DWIE USA Dave Wiegand            0 1945 20200101
CLIP USA Chris Lipe              0 1925 20200101
CGRU USA Chris Grubb             0 1911 20200101
JCAS USA Josh Castellano         0 1862 20200101
TWEI USA Tim Weiss               0 1849 20200101
PARM USA Pete Armstrong          0 1836 20200101
MMCK AUS Mike McKenna            0 1800 20200101
JMAT CAN Jesse Matthews          0 1777 20200101
PSHA USA Puneet Sharma           0 1660 20200101
MDEM USA Martin DeMello          0 1614 20200101
RGOL USA Randi Goldberg          0 1556 20200101
MFRA USA Mark Francillon         0 1503 20200101
JCLI USA Jennifer Clinchy        0 1332 20200101
RGRU USA Rachel Grubb            0 1332 20200101
JJEF USA Jeremy Jeffers          0 1301 20200101
ECLI USA Evans Clinchy           0 1982 20200101
CTAL USA Chris Tallman           0 1500 20200101
