Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
04/19/25 07:25 AM,1,Wellington Jighere,537,Stefan Rau,456
04/19/25 07:31 AM,1,Jason Keller,425,Laurie Cohen,377
04/19/25 07:34 AM,1,Ben Schoenbrun,517,Robert Linn,410
04/19/25 07:37 AM,1,Dennis Ikekeregor,512,Quinn James,410
04/19/25 07:40 AM,1,Chris Lipe,502,Nsikak Etim,408
04/19/25 08:20 AM,2,Dennis Ikekeregor,419,Ben Schoenbrun,399
04/19/25 08:20 AM,2,Wellington Jighere,499,Chris Lipe,360
04/19/25 08:23 AM,2,Laurie Cohen,518,Robert Linn,376
04/19/25 08:30 AM,2,Jason Keller,497,Stefan Rau,442
04/19/25 08:39 AM,2,Nsikak Etim,406,Quinn James,366
04/19/25 09:09 AM,3,Wellington Jighere,505,Quinn James,416
04/19/25 09:13 AM,3,Dennis Ikekeregor,486,Laurie Cohen,416
04/19/25 09:15 AM,3,Jason Keller,589,Robert Linn,381
04/19/25 09:25 AM,3,Ben Schoenbrun,470,Nsikak Etim,428
04/19/25 09:26 AM,3,Stefan Rau,472,Chris Lipe,454
04/19/25 10:06 AM,4,Laurie Cohen,471,Nsikak Etim,414
04/19/25 10:07 AM,4,Jason Keller,610,Chris Lipe,448
04/19/25 10:09 AM,4,Ben Schoenbrun,448,Wellington Jighere,405
04/19/25 10:20 AM,4,Dennis Ikekeregor,422,Robert Linn,335
04/19/25 10:21 AM,4,Quinn James,468,Stefan Rau,429
04/19/25 11:26 AM,5,Wellington Jighere,394,Laurie Cohen,388
04/19/25 11:37 AM,5,Dennis Ikekeregor,488,Jason Keller,480
04/19/25 11:37 AM,5,Ben Schoenbrun,545,Stefan Rau,354
04/19/25 11:46 AM,5,Quinn James,504,Chris Lipe,391
04/19/25 11:51 AM,5,Nsikak Etim,450,Robert Linn,448
04/19/25 12:25 PM,6,Nsikak Etim,446,Dennis Ikekeregor,391
04/19/25 12:34 PM,6,Jason Keller,440,Quinn James,414
04/19/25 12:35 PM,6,Laurie Cohen,472,Stefan Rau,307
04/19/25 12:36 PM,6,Wellington Jighere,477,Robert Linn,317
04/19/25 12:39 PM,6,Ben Schoenbrun,461,Chris Lipe,351
04/19/25 12:59 PM,7,Wellington Jighere,463,Dennis Ikekeregor,344
04/19/25 01:20 PM,7,Nsikak Etim,526,Jason Keller,464
04/19/25 01:27 PM,7,Chris Lipe,424,Laurie Cohen,374
04/19/25 01:29 PM,7,Quinn James,576,Ben Schoenbrun,378
04/19/25 01:34 PM,7,Stefan Rau,495,Robert Linn,471
04/19/25 01:56 PM,8,Nsikak Etim,470,Wellington Jighere,402
04/19/25 02:14 PM,8,Dennis Ikekeregor,472,Stefan Rau,416
04/19/25 02:19 PM,8,Ben Schoenbrun,441,Jason Keller,316
04/19/25 02:31 PM,8,Robert Linn,452,Chris Lipe,440
04/19/25 02:48 PM,9,Jason Keller,471,Wellington Jighere,436
04/19/25 03:01 PM,9,Laurie Cohen,519,Ben Schoenbrun,434
04/19/25 03:09 PM,9,Nsikak Etim,542,Stefan Rau,325
04/19/25 03:13 PM,9,Chris Lipe,530,Dennis Ikekeregor,471
04/19/25 03:21 PM,9,Robert Linn,475,Quinn James,428
04/19/25 03:30 PM,8,Quinn James,534,Laurie Cohen,461
04/20/25 07:23 AM,10,Chris Lipe,509,Dennis Ikekeregor,402
04/20/25 07:30 AM,10,Jason Keller,467,Laurie Cohen,387
04/20/25 07:34 AM,10,Ben Schoenbrun,423,Wellington Jighere,410
04/20/25 07:38 AM,10,Stefan Rau,530,Robert Linn,382
04/20/25 07:44 AM,10,Quinn James,505,Nsikak Etim,416
04/20/25 08:31 AM,11,Robert Linn,501,Jason Keller,417
04/20/25 08:33 AM,11,Laurie Cohen,381,Ben Schoenbrun,328
04/20/25 08:38 AM,11,Stefan Rau,516,Dennis Ikekeregor,454
04/20/25 08:39 AM,11,Wellington Jighere,444,Quinn James,409
04/20/25 08:39 AM,11,Chris Lipe,465,Nsikak Etim,458
04/20/25 09:23 AM,12,Ben Schoenbrun,498,Robert Linn,406
04/20/25 09:28 AM,12,Laurie Cohen,518,Quinn James,397
04/20/25 09:28 AM,12,Wellington Jighere,431,Chris Lipe,342
04/20/25 09:29 AM,12,Dennis Ikekeregor,509,Jason Keller,395
04/20/25 09:38 AM,12,Nsikak Etim,505,Stefan Rau,353
04/20/25 10:15 AM,13,Ben Schoenbrun,412,Dennis Ikekeregor,385
04/20/25 10:15 AM,13,Jason Keller,459,Nsikak Etim,418
04/20/25 10:18 AM,13,Wellington Jighere,546,Stefan Rau,455
04/20/25 10:21 AM,13,Robert Linn,457,Quinn James,402
04/20/25 10:23 AM,13,Laurie Cohen,388,Chris Lipe,377
04/20/25 11:27 AM,14,Jason Keller,490,Wellington Jighere,329
04/20/25 11:28 AM,14,Dennis Ikekeregor,434,Quinn James,382
04/20/25 11:32 AM,14,Ben Schoenbrun,621,Nsikak Etim,382
04/20/25 11:39 AM,14,Laurie Cohen,414,Stefan Rau,371
04/20/25 11:40 AM,14,Chris Lipe,408,Robert Linn,391
04/20/25 12:27 PM,15,Ben Schoenbrun,446,Jason Keller,425
04/20/25 12:28 PM,15,Quinn James,433,Chris Lipe,326
04/20/25 12:33 PM,15,Nsikak Etim,420,Dennis Ikekeregor,367
04/20/25 12:35 PM,15,Wellington Jighere,434,Laurie Cohen,420
04/20/25 12:37 PM,15,Stefan Rau,453,Robert Linn,426
04/20/25 01:06 PM,16,Laurie Cohen,520,Wellington Jighere,328
04/20/25 01:23 PM,16,Chris Lipe,499,Nsikak Etim,425
04/20/25 01:26 PM,16,Dennis Ikekeregor,409,Stefan Rau,405
04/20/25 01:26 PM,16,Ben Schoenbrun,443,Jason Keller,393
04/20/25 01:34 PM,16,Robert Linn,419,Quinn James,337
04/20/25 01:59 PM,17,Dennis Ikekeregor,673,Jason Keller,417
04/20/25 02:00 PM,17,Ben Schoenbrun,487,Nsikak Etim,436
04/20/25 02:08 PM,17,Wellington Jighere,472,Laurie Cohen,412
04/20/25 02:27 PM,17,Stefan Rau,587,Robert Linn,380
04/20/25 02:28 PM,17,Chris Lipe,467,Quinn James,455
